JerseyNo,Date,Opp,TRB,AST,STL,PTS
0,2017-11-19,IND,1,2,2,15
0,2017-11-22,BOS,3,1,0,0
0,2017-11-24,MIN,1,1,0,7
0,2017-11-26,CHI,2,1,1,0
0,2017-11-28,CLE,2,2,1,15
0,2017-11-29,NYK,3,1,3,13
0,2017-12-01,CHO,2,1,1,27
0,2017-12-03,GSW,1,2,0,12
0,2017-12-06,SAS,2,2,0,19
0,2017-12-09,BRK,6,1,0,5
0,2017-12-11,MEM,5,2,0,17
0,2017-12-13,POR,2,0,2,11
0,2017-12-15,CHO,6,3,3,11
0,2017-12-16,LAC,3,2,1,28
0,2017-12-18,ATL,4,3,3,26
0,2017-12-20,BOS,4,6,1,19
0,2017-12-22,DAL,4,5,1,24
0,2017-12-23,NOP,4,2,1,12
0,2017-12-26,ORL,7,5,1,20
0,2017-12-29,BRK,2,2,1,19
0,2017-12-30,ORL,4,5,2,11
0,2018-01-03,DET,0,5,1,22
0,2018-01-05,NYK,1,2,3,18
0,2018-01-07,UTA,3,7,2,14
0,2018-01-09,TOR,6,4,0,6
0,2018-01-10,IND,3,4,1,14
0,2018-01-14,MIL,6,0,1,16
0,2018-01-15,CHI,5,6,2,11
0,2018-01-17,MIL,7,3,2,14
0,2018-01-19,BRK,4,7,3,12
0,2018-01-20,CHO,3,5,1,17
0,2018-01-22,HOU,3,1,1,12
0,2018-01-25,SAC,7,5,3,6
0,2018-01-27,CHO,2,5,1,19
0,2018-01-29,DAL,3,3,2,14
0,2018-01-31,CLE,3,2,0,15
0,2018-02-02,PHI,3,4,1,12
0,2018-02-03,DET,1,6,3,19
0,2018-02-05,ORL,2,2,1,20
0,2018-02-07,HOU,4,5,1,30
0,2018-02-09,MIL,2,0,1,16
0,2018-02-13,TOR,3,5,1,10
0,2018-02-14,PHI,1,2,1,6
0,2018-02-23,NOP,7,3,4,15
0,2018-02-24,MEM,3,1,5,15
0,2018-02-27,PHI,5,3,4,6
0,2018-03-01,LAL,3,2,3,15
0,2018-03-03,DET,4,2,2,17
0,2018-03-05,PHO,4,2,0,12
0,2018-03-06,WAS,2,2,3,16
0,2018-03-08,PHI,4,2,1,13
0,2018-03-10,WAS,1,4,2,13
0,2018-03-12,POR,2,1,0,4
0,2018-03-14,SAC,0,0,0,0
0,2018-03-16,LAL,8,4,4,4
0,2018-03-19,DEN,5,5,1,17
0,2018-03-21,NYK,3,5,3,12
0,2018-03-23,OKC,1,5,0,4
0,2018-03-25,IND,3,2,2,10
0,2018-03-27,CLE,7,2,2,15
0,2018-03-29,CHI,5,3,0,22
0,2018-03-31,BRK,7,3,2,13
0,2018-04-03,ATL,5,2,1,9
0,2018-04-04,ATL,4,2,3,19
0,2018-04-06,NYK,2,2,0,2
0,2018-04-09,OKC,3,3,1,18
0,2018-04-11,TOR,6,5,2,6
21,2017-10-18,ORL,22,1,0,26
21,2017-10-21,IND,0,0,0,0
21,2017-10-23,ATL,0,0,0,0
21,2017-10-25,SAS,0,0,0,0
21,2017-10-28,BOS,0,0,0,0
21,2017-10-30,MIN,0,0,0,0
21,2017-11-01,CHI,14,1,1,13
21,2017-11-03,DEN,3,0,2,13
21,2017-11-05,LAC,17,1,3,21
21,2017-11-06,GSW,6,0,0,3
21,2017-11-08,PHO,10,1,1,23
21,2017-11-10,UTA,20,0,3,8
21,2017-11-12,DET,12,0,1,20
21,2017-11-15,WAS,21,0,0,14
21,2017-11-17,WAS,16,1,0,22
21,2017-11-19,IND,7,0,0,15
21,2017-11-22,BOS,10,0,0,8
21,2017-11-24,MIN,10,1,0,16
21,2017-11-26,CHI,9,0,1,11
21,2017-11-28,CLE,14,0,2,11
21,2017-11-29,NYK,0,0,0,0
21,2017-12-01,CHO,0,0,0,0
21,2017-12-03,GSW,0,0,0,0
21,2017-12-06,SAS,0,0,0,0
21,2017-12-09,BRK,0,0,0,0
21,2017-12-11,MEM,0,0,0,0
21,2017-12-13,POR,0,0,0,0
21,2017-12-15,CHO,0,0,0,0
21,2017-12-16,LAC,0,0,0,0
21,2017-12-18,ATL,0,0,0,0
21,2017-12-20,BOS,0,0,0,0
21,2017-12-22,DAL,0,0,0,0
21,2017-12-23,NOP,0,0,0,0
21,2017-12-26,ORL,8,0,1,7
21,2017-12-29,BRK,8,0,2,17
21,2017-12-30,ORL,13,4,0,9
21,2018-01-03,DET,4,2,1,10
21,2018-01-05,NYK,7,0,0,12
21,2018-01-07,UTA,10,1,0,14
21,2018-01-09,TOR,15,1,0,13
21,2018-01-10,IND,15,1,0,16
21,2018-01-14,MIL,10,0,2,15
21,2018-01-15,CHI,8,1,0,9
21,2018-01-17,MIL,14,0,0,27
21,2018-01-19,BRK,13,2,0,22
21,2018-01-20,CHO,14,3,0,10
21,2018-01-22,HOU,13,2,3,22
21,2018-01-25,SAC,14,1,1,8
21,2018-01-27,CHO,10,0,0,6
21,2018-01-29,DAL,14,2,0,25
21,2018-01-31,CLE,8,1,0,9
21,2018-02-02,PHI,9,0,0,4
21,2018-02-03,DET,0,0,0,0
21,2018-02-05,ORL,14,1,0,19
21,2018-02-07,HOU,17,1,0,16
21,2018-02-09,MIL,16,2,1,12
21,2018-02-13,TOR,10,1,2,10
21,2018-02-14,PHI,10,1,0,16
21,2018-02-23,NOP,16,1,1,19
21,2018-02-24,MEM,8,2,1,12
